epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4635,3.26076,3.78519,2.4608,0.27451,0.11831,0.09031,0.02707,2.8729,2.58133,2.06919,0.00018,0.00018,0.00018
2,19.3482,2.69668,2.53218,1.93715,0.36717,0.22488,0.20171,0.06057,2.62921,2.47981,1.95969,0.000372476,0.000372476,0.000372476
3,23.443,2.44886,2.0579,1.76476,0.41295,0.26432,0.26696,0.08309,2.50541,2.72394,1.88974,0.000557032,0.000557032,0.000557032
4,27.4989,2.31225,1.76893,1.64597,0.60764,0.40751,0.44835,0.16522,2.2966,2.17716,1.74895,0.000733668,0.000733668,0.000733668
5,31.5649,2.22116,1.59807,1.51362,0.55701,0.54085,0.56565,0.22186,2.14012,1.75735,1.54568,0.000902384,0.000902384,0.000902384
6,35.7909,2.13123,1.3935,1.44311,0.72669,0.71151,0.74151,0.29093,2.04717,1.50528,1.47957,0.00106318,0.00106318,0.00106318
7,39.7905,2.09129,1.26646,1.42626,0.81734,0.76679,0.80982,0.32059,2.02663,1.27251,1.45923,0.00121606,0.00121606,0.00121606
8,43.6259,2.04223,1.18408,1.39098,0.78341,0.79984,0.82947,0.33539,1.98657,1.27782,1.40953,0.00136101,0.00136101,0.00136101
9,47.4311,2.02527,1.1443,1.34339,0.80907,0.78982,0.84673,0.34996,1.96246,1.21887,1.3759,0.00149805,0.00149805,0.00149805
10,51.2201,1.99997,1.13883,1.35082,0.80552,0.78592,0.84603,0.34983,1.96758,1.10328,1.3816,0.00162716,0.00162716,0.00162716
11,54.943,1.95595,1.09062,1.33043,0.79386,0.81904,0.84946,0.32832,2.02403,1.1134,1.42457,0.001604,0.001604,0.001604
12,58.6774,1.93837,1.06179,1.33506,0.85944,0.85634,0.88489,0.39026,1.90978,0.96889,1.36058,0.0015644,0.0015644,0.0015644
13,62.4787,1.9605,1.03731,1.32355,0.85998,0.85643,0.89444,0.39047,1.91014,0.97292,1.34584,0.0015248,0.0015248,0.0015248
14,66.2939,1.90582,1.01107,1.31325,0.84161,0.84315,0.88826,0.39743,1.87631,0.9957,1.30945,0.0014852,0.0014852,0.0014852
15,70.0656,1.90731,1.01002,1.30616,0.87591,0.8385,0.89176,0.38952,1.87932,0.95756,1.32435,0.0014456,0.0014456,0.0014456
16,73.8093,1.90332,0.99917,1.28271,0.86647,0.85605,0.89216,0.37638,1.97113,0.97134,1.35473,0.001406,0.001406,0.001406
17,77.5421,1.87161,0.97474,1.25652,0.86857,0.87606,0.90693,0.41122,1.86231,0.93313,1.30189,0.0013664,0.0013664,0.0013664
18,81.3648,1.89446,0.97229,1.27714,0.88947,0.84883,0.8986,0.39745,1.89729,0.92314,1.31085,0.0013268,0.0013268,0.0013268
19,85.0858,1.85087,0.95931,1.27894,0.87781,0.84992,0.90388,0.40859,1.87369,0.91373,1.28194,0.0012872,0.0012872,0.0012872
20,88.8168,1.88224,0.95757,1.26412,0.90113,0.8601,0.91411,0.42077,1.84495,0.90517,1.27432,0.0012476,0.0012476,0.0012476
